阀门开度输出,平均值,最大值,最小值,标准差,样本数量,峰值扭矩
0,277.73945066494844,278.189697,274.979675,0.558452785252267,194,278.189697
1,276.39885789,277.511536,269.599426,1.7032425048254114,100,277.511536
2,222.18193122,269.599426,207.839783,17.133000877016435,100,269.599426
3,152.91256406,207.839783,143.005676,18.07460979255576,100,207.839783
4,99.33176088,143.005676,92.729919,14.612643997158035,100,143.005676
5,59.63920662,94.041077,54.480469,11.23129511966838,100,94.041077
6,27.95686171,55.384766,23.329407,8.690146865266163,100,55.384766
7,5.47653866,25.318726,1.989319,6.913159957963224,100,25.318726
8,-4.03834683,3.481323,-4.837677,2.09583224376297,100,-4.837677
9,-5.309447434343435,-4.566437,-5.696716,0.34908605521459823,99,-5.696716
10,-8.977495297029703,-4.837677,-10.850891,1.5283609381691987,101,-10.850891
11,-14.372907419999999,-8.590271,-16.23111,1.8941982513474658,100,-16.23111
12,-20.69219177,-14.10614,-23.103363,2.1172070071398923,100,-23.103363
13,-28.576716889999997,-20.119354,-30.653778,2.5443923916545548,100,-30.653778
14,-40.77312596,-28.257507,-44.579102,4.0425660210724885,100,-44.579102
15,-53.944300240000004,-40.736053,-57.600128,4.44989699891994,100,-57.600128
16,-66.81616434,-53.847565,-72.067993,4.570425751662913,100,-72.067993
17,-74.65729523,-65.964386,-84.591736,5.220317436707591,100,-84.591736
18,-78.84121388,-66.19043,-91.147491,7.0204863754934985,100,-91.147491
19,-81.39117492,-64.9245,-92.86554,7.51991513646017,100,-92.86554
20,-82.54394934343435,-68.360596,-97.296326,7.504056923878031,99,-97.296326
21,-81.41794006930692,-65.286194,-90.107605,7.082453153829055,101,-90.107605
22,-66.68143799,-43.313141,-98.426605,17.719075084398863,100,-98.426605
23,-70.92910861,-43.313141,-77.267365,10.768449387928598,100,-77.267365
24,-58.023331070000005,-35.762726,-91.916077,18.786832793744512,100,-91.916077
25,-62.42562661,-35.762726,-68.948364,9.956987321391631,100,-68.948364
26,-53.95876716,-34.315948,-81.29126,15.547662070942204,100,-81.29126
27,-58.10660988888889,-34.270721,-65.19577,8.772946205877398,99,-65.19577
28,-43.27464198019802,-22.063477,-71.435028,16.204818839616287,101,-71.435028
29,-48.44922723,-22.01825,-55.429962,10.158313811732919,100,-55.429962
30,-35.83596799,-16.954498,-64.517578,15.572502077696196,100,-64.517578
31,-42.63088431999999,-17.316223,-48.602936,8.998802914807937,100,-48.602936
32,-38.901799329999996,-22.244324,-58.504364,11.074322620059966,100,-58.504364
33,-44.48277231,-22.1539,-53.033752,7.972647430751408,100,-53.033752
34,-29.06818198,-13.654022,-56.153351,14.249627365735346,100,-56.153351
35,-37.4414459,-14.015747,-43.539185,8.26288402333084,100,-43.539185
36,-23.84076344,-10.850891,-51.22525,13.3558884726159,100,-51.22525
37,-34.84582365,-10.986542,-39.51532,8.46904531342918,100,-39.51532
38,-23.818068575757575,-10.850891,-47.42746,12.148821072246891,99,-47.42746
39,-33.217420871287125,-11.212585,-38.882355,8.198491034767347,101,-38.882355
40,-21.16556638,-9.494537,-45.845001,11.903320177841339,100,-45.845001
41,-31.61904234,-10.263153,-36.531342,7.352676189550212,100,-36.531342
42,-20.56017454,-8.906769,-43.448761,11.242155586597766,100,-43.448761
43,-30.78759437,-10.082275,-35.672302,7.070513211938563,100,-35.672302
44,-19.47953996969697,-8.635498,-41.549866,10.726293583329905,99,-41.549866
45,-29.17760127,-9.358887,-34.225525,7.149450963013938,100,-34.225525
46,-19.70883208,-9.404083,-40.057861,9.996624858179034,100,-40.057861
47,-28.491649752475247,-10.082275,-33.411713,6.824317648325175,101,-33.411713
48,-17.10778281,-7.866882,-37.932892,10.064079090889313,100,-37.932892
49,-27.3677503,-9.31366,-31.919708,5.94354432717674,100,-31.919708
50,-18.74174618,-9.991852,-37.887695,8.899632517235993,100,-37.887695
51,-27.91933657,-10.850891,-32.733521,5.6913209961097335,100,-32.733521
52,-18.02332982,-9.132843,-36.666962,8.956182553883464,100,-36.666962
53,-27.344236470000002,-9.358887,-31.919708,5.9957807225586865,100,-31.919708
54,-17.62184238,-9.223267,-35.807922,8.81434901709045,100,-35.807922
55,-27.125846525252527,-9.358887,-31.422363,5.941479327365604,99,-31.422363
56,-18.35020992,-8.590271,-36.350494,8.91791820587584,100,-36.350494
57,-26.84103295,-9.223267,-32.055359,6.361652519577796,100,-32.055359
58,-18.62601906930693,-9.720581,-36.305267,8.600291217446888,101,-36.305267
59,-27.31304201,-10.172729,-32.46225,5.523041419207814,100,-32.46225
60,-16.5557412,-7.686035,-36.486115,9.391271615874045,100,-36.486115
61,-26.94772948,-7.866882,-31.738861,6.380548542681024,100,-31.738861
62,-19.08038543,-10.082275,-36.260071,8.37288748971563,100,-36.260071
63,-27.8040393030303,-10.263153,-32.236176,5.793482935704985,99,-32.236176
64,-16.56117222,-7.731262,-35.491455,9.320292857182991,100,-35.491455
65,-27.23301941,-7.866882,-31.919708,6.6037168202883505,100,-31.919708
66,-20.52313299009901,-9.358887,-35.98877,8.395615354958267,101,-35.98877
67,-28.02468114,-9.358887,-33.276062,6.084897886764419,100,-33.276062
68,-16.751516430000002,-7.188721,-37.25473,9.529585759707944,100,-37.25473
69,-28.306358239999998,-8.545074,-32.326599,6.438152300126671,100,-32.326599
